2024-02-17 23:54:31,948 - Starting new HTTPS connection (1): statistik.bra.se:443
2024-02-17 23:54:32,232 - https://statistik.bra.se:443 "GET /solwebb/action/start?menykatalogid=1 HTTP/1.1" 200 None
2024-02-17 23:54:32,333 - https://statistik.bra.se:443 "GET /solwebb/action/anmalda/urval/urval?menyid=37 HTTP/1.1" 200 None
2024-02-17 23:54:32,390 - Executing request 1/1230 for topic 37
2024-02-17 23:54:32,428 - https://statistik.bra.se:443 "POST /solwebb/action/anmalda/urval/vantapopup HTTP/1.1" 200 1084
2024-02-17 23:54:34,305 - https://statistik.bra.se:443 "GET /solwebb/action/anmalda/urval/sok HTTP/1.1" 200 700
2024-02-17 23:54:36,844 - https://statistik.bra.se:443 "POST /solwebb/action/anmalda/resultat/dbfil HTTP/1.1" 200 None
2024-02-17 23:54:37,231 - Saving response for request 7677
2024-02-17 23:54:37,231 - Response content: Region;Brott;År;Period;Antal;/100 000 inv
Avesta kommun;5 kap. Ärekränkningsbrott;2013;Kvartal 2;3;14;
Borlänge kommun;3-7 kap. Brott mot person;1995;Feb;..;..;
Borlänge kommun;3-7 kap. Brott mot person;1996;Apr;..;..;
Borlänge kommun;3-7 kap. Brott mot person;1996;Maj;..;..;
Borlänge kommun;3-7 kap. Brott mot person;2000;Sep;..;..;
Borlänge kommun;3-7 kap. Brott mot person;2005;Jun;..;..;
Borlänge kommun;3-7 kap. Brott mot person;2005;Kvartal 1;..;..;
Borlänge kommun;3-7 kap. Brott mot person;2006;Apr;..;..;
Borlänge kommun;3-7 kap. Brott mot person;2008;Apr;..;..;
Borlänge kommun;3-7 kap. Brott mot person;2010;Mar;..;..;
Borlänge kommun;3-7 kap. Brott mot person;2010;Kvartal 2;..;..;
Borlänge kommun;3-7 kap. Brott mot person;2012;Maj;..;..;
Borlänge kommun;3-7 kap. Brott mot person;2013;Kvartal 2;..;..;
Borlänge kommun;5 kap. Ärekränkningsbrott;1995;Feb;..;..;
Borlänge kommun;5 kap. Ärekränkningsbrott;1996;Apr;1;2;
Borlänge kommun;5 kap. Ärekränkningsbrott;1996;Maj;2;4;
Borlänge kommun;5 kap. Ärekränkningsbrott;2000;Sep;1;2;
Borlänge kommun;5 kap. Ärekränkningsbrott;2005;Jun;2;4;
Borlänge kommun;5 kap. Ärekränkningsbrott;2005;Kvartal 1;17;36;
Borlänge kommun;5 kap. Ärekränkningsbrott;2006;Apr;2;4;
Borlänge kommun;5 kap. Ärekränkningsbrott;2008;Apr;..;..;
